,order_id,product_id,product_description,product_price,product_vat_rate,discount_rate,quantity,full_price_amount,discounted_amount,vat_amount,total_amount,id,created_at,vendor_id,customer_id,date,discounted_amount2,full_price_amount2,total_amount2,weighted_discount_rate,rate,commission_amount
0,2,794,IBM 032,21873,0.11,0.0,49,1071777,1071777.0,117895.47,1189672.47,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,1189672.4700000002,1189672.4700000002,0.0,0.27,321211.5669000001
1,2,780,IBM 003,94046,0.2,0.7612934461294719,29,2727334,651032.5003939229,130206.50007878461,781239.0004727073,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,2491561.7995272926,3272800.8,781239.0004727073,2207.750993775469,0.27,210934.530127631
2,2,521,Deskjet 995c / 995ck,47082,0.11,0.0,20,941640,941640.0,103580.4,1045220.4,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,1045220.4000000001,1045220.4000000001,0.0,0.27,282209.50800000003
3,2,835,A388C (Accompli 388),55162,0.0,0.0,50,2758100,2758100.0,0.0,2758100.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,2758100.0,2758100.0,0.0,0.27,744687.0
4,2,580,Officejet 330,15927,0.11,0.0,46,732642,732642.0,80590.62,813232.62,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,813232.6200000001,813232.6200000001,0.0,0.27,219572.80740000005
5,2,365,QM3,33152,0.2,0.0,11,364672,364672.0,72934.40000000001,437606.4,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,437606.39999999997,437606.39999999997,0.0,0.27,118153.728
6,2,417,GS8,96066,0.11,0.0,22,2113452,2113452.0,232479.72,2345931.72,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,2345931.72,2345931.72,0.0,0.27,633401.5644000001
7,2,462,Deskjet 610c / 610cl,1037,0.2,0.5222030877456142,33,34221,16350.688134257336,3270.1376268514673,19620.825761108805,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,21444.374238891196,41065.2,19620.8257611088,1723.2701895605267,0.27,5297.622955499377
8,2,589,Officejet 720,98827,0.0,0.042481093923956825,30,2964810,2838861.627923313,0.0,2838861.627923313,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,125948.37207668643,2964810.0,2838861.6279233135,127.44328177187047,0.27,766492.6395392948
9,2,428,XC60,76782,0.0,0.0,30,2303460,2303460.0,0.0,2303460.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,2303460.0,2303460.0,0.0,0.27,621934.2000000001
10,2,480,Deskjet 697c,62009,0.0,0.0,27,1674243,1674243.0,0.0,1674243.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,1674243.0,1674243.0,0.0,0.27,452045.61000000004
11,2,477,Deskjet 693c,38209,0.0,0.6747173985035544,28,1069852,348004.24177617533,0.0,348004.24177617533,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,721847.7582238247,1069852.0,348004.24177617533,1889.208715809952,0.27,93961.14527956734
12,2,549,Deskjet 6620,13463,0.0,0.0,26,350038,350038.0,0.0,350038.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,350038.0,350038.0,0.0,0.27,94510.26000000001
13,2,590,Officejet 725,30347,0.0,0.4854387715074865,29,880063,452846.2984308069,0.0,452846.2984308069,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,427216.7015691931,880063.0,452846.2984308069,1407.7724373717108,0.27,122268.50057631788
14,2,792,IBM 029,47535,0.11,0.0,8,380280,380280.0,41830.8,422110.8,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,422110.80000000005,422110.80000000005,0.0,0.27,113969.91600000003
15,2,822,MicroTAC Alpha,65335,0.0,0.0,12,784020,784020.0,0.0,784020.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,784020.0,784020.0,0.0,0.27,211685.40000000002
16,2,517,Deskjet 960c / 960cse / 960cxi,77184,0.0,0.0,3,231552,231552.0,0.0,231552.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,231552.0,231552.0,0.0,0.27,62519.04
17,2,640,Officejet Pro 1170c / 1170cse / 1170cxi,61714,0.0,0.0,35,2159990,2159990.0,0.0,2159990.0,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,0.0,2159990.0,2159990.0,0.0,0.27,583197.3
18,2,830,MicroTAC DPC Series,28791,0.0,0.7863999532961412,15,431865,92246.38416976195,0.0,92246.38416976195,2,2019-08-01 18:43:57.052767+00:00,3,1398,2019-08-01,339618.61583023804,431865.0,92246.38416976198,1179.5999299442117,0.27,24906.523725835737
